"set" "map" "mkr" "phys" "gen"
"Hordeum vulgare" "chr1H" "12_10420" 50467 0.54
"Hordeum vulgare" "chr1H" "11_21354" 376848 1.68
"Hordeum vulgare" "chr1H" "12_30969" 378368 0.31
"Hordeum vulgare" "chr1H" "11_10895" 673395 0.89
"Hordeum vulgare" "chr1H" "11_21067" 1620999 1.88
"Hordeum vulgare" "chr1H" "12_30715" 1712321 3.21
"Hordeum vulgare" "chr1H" "11_20502" 2086105 2.55
"Hordeum vulgare" "chr1H" "12_11311" 2582958 3.21
"Hordeum vulgare" "chr1H" "11_10419" 4920833 4.71
"Hordeum vulgare" "chr1H" "12_10636" 5069113 5.41
"Hordeum vulgare" "chr1H" "12_10410" 5095781 4.71
"Hordeum vulgare" "chr1H" "12_31144" 5368905 4.71
"Hordeum vulgare" "chr1H" "12_30933" 6144213 6.98
"Hordeum vulgare" "chr1H" "12_11011" 6144483 6.98
"Hordeum vulgare" "chr1H" "11_21226" 7773311 9.37
"Hordeum vulgare" "chr1H" "11_21174" 7857921 8.96
"Hordeum vulgare" "chr1H" "12_31149" 8937819 10.69
"Hordeum vulgare" "chr1H" "12_30918" 9335162 11.35
"Hordeum vulgare" "chr1H" "12_30919" 9335559 11.35
"Hordeum vulgare" "chr1H" "12_30952" 9415079 11.35
"Hordeum vulgare" "chr1H" "12_30950" 9415220 11.35
"Hordeum vulgare" "chr1H" "12_30588" 10825726 12.94
"Hordeum vulgare" "chr1H" "12_30955" 11836705 14.59
"Hordeum vulgare" "chr1H" "11_20749" 13470168 15.91
"Hordeum vulgare" "chr1H" "12_30948" 13470348 15.91
"Hordeum vulgare" "chr1H" "11_10775" 13868288 15.91
"Hordeum vulgare" "chr1H" "11_20371" 14717385 17.4
"Hordeum vulgare" "chr1H" "11_10030" 14726416 17.4
"Hordeum vulgare" "chr1H" "12_30876" 14738219 18.22
"Hordeum vulgare" "chr1H" "11_10873" 15534038 20.33
"Hordeum vulgare" "chr1H" "11_20712" 16448156 20.33
"Hordeum vulgare" "chr1H" "12_30241" 17862628 20.33
"Hordeum vulgare" "chr1H" "11_10186" 19822693 22.04
"Hordeum vulgare" "chr1H" "11_10757" 20591395 22.04
"Hordeum vulgare" "chr1H" "11_10744" 20945401 23.62
"Hordeum vulgare" "chr1H" "11_21048" 21488936 24.03
"Hordeum vulgare" "chr1H" "12_31276" 22443966 25.5
"Hordeum vulgare" "chr1H" "11_20617" 24636462 27.12
"Hordeum vulgare" "chr1H" "11_10760" 25517667 28.2
"Hordeum vulgare" "chr1H" "11_21072" 29088959 30.81
"Hordeum vulgare" "chr1H" "11_10238" 29288914 30.15
"Hordeum vulgare" "chr1H" "12_31177" 29884560 30.81
"Hordeum vulgare" "chr1H" "12_11357" 31333237 30.15
"Hordeum vulgare" "chr1H" "12_11498" 32376511 34.45
"Hordeum vulgare" "chr1H" "12_30336" 32536999 35.11
"Hordeum vulgare" "chr1H" "11_10764" 35128597 34.45
"Hordeum vulgare" "chr1H" "11_10275" 37687340 35.77
"Hordeum vulgare" "chr1H" "11_10597" 38014817 36.64
"Hordeum vulgare" "chr1H" "11_20514" 38076576 35.98
"Hordeum vulgare" "chr1H" "11_21095" 38603489 35.77
"Hordeum vulgare" "chr1H" "12_11266" 39454940 36.64
"Hordeum vulgare" "chr1H" "11_21134" 40060440 37.3
"Hordeum vulgare" "chr1H" "12_30268" 41230446 36.64
"Hordeum vulgare" "chr1H" "12_10314" 46813482 38.36
"Hordeum vulgare" "chr1H" "11_10294" 58303856 40.4
"Hordeum vulgare" "chr1H" "11_10259" 59539278 40.4
"Hordeum vulgare" "chr1H" "11_10526" 62190799 40.4
"Hordeum vulgare" "chr1H" "12_31467" 64847663 40.4
"Hordeum vulgare" "chr1H" "12_30683" 67631428 40.4
"Hordeum vulgare" "chr1H" "11_10957" 74788843 41.74
"Hordeum vulgare" "chr1H" "12_11301" 75616369 41.74
"Hordeum vulgare" "chr1H" "12_30796" 77787296 40.4
"Hordeum vulgare" "chr1H" "11_20855" 80769471 41.74
"Hordeum vulgare" "chr1H" "11_11064" 81287851 41.74
"Hordeum vulgare" "chr1H" "12_10235" 81464188 40.4
"Hordeum vulgare" "chr1H" "11_11478" 85709535 42.42
"Hordeum vulgare" "chr1H" "11_10470" 88998108 42.42
"Hordeum vulgare" "chr1H" "12_30438" 93939656 42.42
"Hordeum vulgare" "chr1H" "12_10159" 94675576 42.42
"Hordeum vulgare" "chr1H" "12_30436" 104452645 42.42
"Hordeum vulgare" "chr1H" "11_11162" 109849188 45.2
"Hordeum vulgare" "chr1H" "11_10985" 112002312 42.42
"Hordeum vulgare" "chr1H" "12_30762" 124757010 42.42
"Hordeum vulgare" "chr1H" "12_30498" 175287782 42.42
"Hordeum vulgare" "chr1H" "12_10506" 229676696 42.42
"Hordeum vulgare" "chr1H" "11_11336" 250205305 42.42
"Hordeum vulgare" "chr1H" "11_20757" 260382518 42.42
"Hordeum vulgare" "chr1H" "12_21408" 278986750 42.42
"Hordeum vulgare" "chr1H" "11_10438" 288025664 42.42
"Hordeum vulgare" "chr1H" "11_20427" 297911266 42.42
"Hordeum vulgare" "chr1H" "12_30562" 298992332 42.42
"Hordeum vulgare" "chr1H" "11_20698" 300766495 42.42
"Hordeum vulgare" "chr1H" "12_30043" 300767221 42.42
"Hordeum vulgare" "chr1H" "12_30462" 301336837 45.2
"Hordeum vulgare" "chr1H" "12_11036" 304981081 42.42
"Hordeum vulgare" "chr1H" "12_10300" 305664801 42.42
"Hordeum vulgare" "chr1H" "11_11287" 306458264 43.08
"Hordeum vulgare" "chr1H" "11_21193" 308152216 42.42
"Hordeum vulgare" "chr1H" "11_20260" 308667816 42.42
"Hordeum vulgare" "chr1H" "12_30404" 308667816 42.42
"Hordeum vulgare" "chr1H" "12_31381" 309614433 44.59
"Hordeum vulgare" "chr1H" "11_20660" 313260966 42.42
"Hordeum vulgare" "chr1H" "12_31208" 314959616 42.42
"Hordeum vulgare" "chr1H" "11_20047" 322462948 42.42
